name,forca,percentage,color
mario,-0.04486506024096386,47.758138968190515,#C00000
donkey-kong,0.04135421686746966,52.06663614484963,#814E1D
link,-0.01053493975903625,49.47324616375374,#0A7C46
samus,0.05612771084337352,52.80358212507645,#e89410
dark-samus,0.05689638554216873,52.84189527992144,#573d71
yoshi,0.012650602409638386,50.632528001189435,#6ba57a
kirby,-0.10025301204819273,45.0038275196858,#c27ba0
fox,-0.08354457831325306,45.83225521406423,#cf9f55
pikachu,-0.035498795180722735,48.22571680209823,#7f6000
luigi,0.09945542168674669,54.956686034257686,#7ee051
ness,0.042493975903614686,52.12352687845638,#e75050
captain-falcon,-0.07309638554216875,46.35149440549119,#d0be22
jigglypuff,-0.11643855421686741,44.20395430278003,#e521e5
peach,0.022578313253012176,51.12878028581432,#e89ce8
daisy,-0.02916385542168677,48.54214765311498,#e8d39c
bowser,-0.013387951807228918,49.33060893655242,#8a6658
ice-climbers,0.042187951807228896,52.10825231139569,#7695b2
sheik,-0.17658313253012045,41.26105414825536,#8948d2
zelda,0.04897349397590367,52.44684107925847,#522f79
dr-mario,0.07660240963855411,53.822836785775095,#d2291e
pichu,-0.03892289156626515,48.054740464019204,#ffd966
falco,-0.06843855421686723,46.5832345835271,#a29f9f
marth,-0.19824337349397594,40.215196227901686,#68b3ca
lucina,-0.2097807228915665,39.66166767556896,#a9c3cc
young-link,-0.04430361445783129,47.78615692467925,#82e555
ganondorf,-0.04724578313253032,47.63934909652903,#3e1a52
mewtwo,-0.09237831325301218,45.39394955085129,#aa75c7
roy,-0.12242409638554203,43.908892278012395,#c85816
chrom,-0.07689879518072315,46.162430162839925,#2b16c8
mr-game-and-watch,0.01791566265060239,50.8957320794898,#4c4444
meta-knight,0.012949397590361664,50.647466059272574,#9f7b9d
pit,-0.10490120481927714,44.773835401032855,#dbd825
dark-pit,-0.11200963855421683,44.42254609876724,#43470c
zero-suit-samus,-0.033689156626505914,48.31609501580992,#5464f0
wario,-0.03533975903614462,48.23365903800127,#e5dc4a
snake,0.14349638554216856,57.126326916453365,#57724a
ike,0.0749590361445785,53.74113416188651,#729abf
pokemon-trainer,-0.03015180722891561,48.49279102740034,#e82727
diddy-kong,-0.005204819277108539,49.739748374411796,#a46418
lucas,-0.020404819277108466,48.979849616456384,#b0ac62
sonic,0.07397108433734932,53.69200704888688,#233f85
king-dedede,0.08839518072289158,54.40850260320409,#d7a5a5
olimar,0.015595180722891535,50.779734805787236,#baafaf
lucario,-0.06253734939759027,46.87704673944435,#5b8dba
rob,0.11408192771084336,55.67976038322112,#bcbcbc
toon-link,0.018043373493975848,50.90211587685217,#65ff6b
wolf,-0.05537831325301176,47.23377337841539,#66588a
villager,-0.010284337349397727,49.48577555279951,#ea9999
mega-man,0.06226265060240971,53.10927098416032,#2986cc
wii-fit-trainer,0.10084819277108434,55.025634098907986,#d1d8df
rosalina,-0.03294939759036161,48.35304377648452,#9fc5e8
little-mac,-0.010660240963855455,49.46698149394299,#9fe8c2
greninja,0.012816867469879367,50.64084032181114,#004bcc
palutena,0.05733012048192793,52.86351251337413,#037412
pac-man,0.07993734939759024,53.98857444457135,#d6e700
robin,0.10643855421686771,55.30218380806575,#8e7cc3
shulk,-0.018971084337349363,49.05151215164093,#c52626
bowser-jr,0.060860240963855367,53.03941212066918,#8fce00
duck-hunt,0.13272771084337331,56.59801396638512,#ffd966
ryu,0.07888433734939757,53.93625189199781,#894141
ken,0.13803373493975887,56.858523519801594,#ca5d5d
cloud,-0.03332289156626501,48.334388637137835,#676767
corrin,-0.10431084337349365,44.80303424311817,#cacaca
bayonetta,0.10766024096385551,55.3625764015241,#20124d
inkling,-0.010744578313252831,49.462764898674436,#eab11f
ridley,-0.025906024096385462,48.70492376421648,#720564
simon,0.12832289156626514,56.38147287902932,#714b0f
richter,0.1529445783132531,57.588527061251526,#134f5c
king-k-rool,-0.01514457831325304,49.24279111849733,#057218
isabelle,0.02801927710843366,51.400667340892085,#f2ff4f
incineroar,-0.030296385542168652,48.485568350860106,#d86448
piranha-plant,-0.042749397590361476,47.863724574182406,#5caa46
joker,-0.144566265060241,42.821271164927076,#c70000
hero,0.00940722891566274,50.47037108723676,#c425cc
banjo-and-kazooie,0.048216867469879555,52.40909707544205,#a2cc25
terry,0.07561445783132537,53.77372180599627,#e5b1b1
byleth,-0.12788192771084317,43.64021846848625,#33dbb9
min-min,0.16709638554216902,58.27832544515641,#bf9000
steve,0.18451325301204832,59.122818631660515,#85afb7
sephiroth,-0.11045060240963832,44.499545114513275,#999999
pyra-and-mythra,-0.07087469879518066,46.46201051924189,#c069a5
kazuya,0.09357590361445764,54.66541820305979,#5e5e5e
sora,-0.05350602409638556,47.32711552725807,#cc6756
